tanggal,judul,kategori,url,views
21 September 2026,DWP Unesa Ajak Perempuan Budayakan Hidup Sehat dan Aktif melalui Jurus “CANTIK”,Umum,https://www.unesa.ac.id/category/berita-unesa/,94
21 September 2026,"Perkuat Jejaring Internasional, Exploring Mathematical Modeling 2026 Libatkan Peserta Dalam—Luar Negeri",Seminar atau Webinar,https://www.unesa.ac.id/category/seminar/,78
21 September 2026,"Kuliah S-2 di Unesa, ‘Pak Pur Polisi Baik’ Beberkan Motivasinya untuk Memperluas Manfaat bagi Sesama",Umum,https://www.unesa.ac.id/category/berita-unesa/,147
21 September 2026,"Peminat Naik Signifikan, Unesa Summer Camp Tahun ini Gaet 100 Peserta dari 28 Negara",Umum,https://www.unesa.ac.id/category/program-berdampak/,83
21 September 2026,"Pecah Telur di Tiongkok, Robby Al-Hilmi Raih Emas di World Climbing Series 2026",Prestasi,https://www.unesa.ac.id/category/prestasi-institusi/,89
20 September 2026,"Dua Tahun Setelah Gagal, Mahasiswa Unesa Come Back dan Raih Juara 1 Peksiminas",Prestasi,https://www.unesa.ac.id/category/prestasi-institusi/,77
19 September 2026,APEBSKID dan Unesa Integrasikan SDGs dengan Disiplin Humaniora melalui AICoMS 2026,Seminar atau Webinar,https://www.unesa.ac.id/category/seminar/,46
18 September 2026,"Dihadiri Pakar Luar Negeri, ICVEE 2026 Unesa Perkuat Ekosistem Riset dan Inovasi Berkelanjutan",Seminar atau Webinar,https://www.unesa.ac.id/category/seminar/,248
18 September 2026,"Sempat Masuk IGD, Perjuangan Diaz Zain di Balik Title Juara Peksiminas 2026",Prestasi,https://www.unesa.ac.id/category/prestasi-institusi/,306
18 September 2026,"Residu Tubuh Suminten, Cerita Rakyat yang Antar Tim Tari Unesa Naik Podium Peksiminas",Prestasi,https://www.unesa.ac.id/category/prestasi-institusi/,306
